"original address",latitude,longitude
"City	State",-35.304179,149.126009
"Hartford	CT",41.763711,-72.685093
"Middletown	CT",41.562321,-72.650649
"New Haven	CT",41.308274,-72.927883
"New London	CT",41.355654,-72.099521
"Norwich	CT",41.524265,-72.07591
"Alexandria	DC",38.804836,-77.046921
"Georgetown	DC",38.909706,-77.065356
"Washington	DC",38.907192,-77.036871
"Savannah	GA",32.083541,-81.099834
"Lexington	KY",38.040584,-84.503716
"Louisville	KY",38.252665,-85.758456
"New Orleans	LA",29.951066,-90.071532
"Beverly	MA",42.558428,-70.880049
"Boston	MA",42.360083,-71.05888
"Charlestown	MA",42.378207,-71.060213
"Gloucester	MA",42.615929,-70.661989
"Lynn	MA",42.466763,-70.949494
"Marblehead	MA",42.499958,-70.857802
"Middleborough	MA",41.892994,-70.910771
"Nantucket	MA",41.28347,-70.099451
"New Bedford	MA",41.636215,-70.934205
"Newburyport	MA",42.812591,-70.877275
"Plymouth	MA",41.958446,-70.667262
"Roxbury	MA",42.315198,-71.091375
"Salem	MA",42.51954,-70.896716
"Taunton	MA",41.900101,-71.089767
"Baltimore	MD",39.290385,-76.612189
"Frederick	MD",39.414269,-77.410541
"Portland	ME",43.661471,-70.255326
"Fayetteville	NC",35.052664,-78.878358
"New Bern	NC",35.108493,-77.044114
"Raleigh	NC",35.77959,-78.638179
"Wilmington	NC",34.225726,-77.94471
"Portsmouth	NH",43.071755,-70.762553
"Elizabeth	NJ",40.663992,-74.210701
"Trenton	NJ",40.217053,-74.742938
"Albany	NY",42.652579,-73.756232
"Brooklyn	NY",40.678178,-73.944158
"Hudson	NY",42.252865,-73.790959
"New York	NY",40.712784,-74.005941
"Schenectady	NY",42.814243,-73.939569
"Troy	NY",42.728412,-73.691785
"Utica	NY",43.100903,-75.232664
"Cincinnati	OH",39.103118,-84.51202
"Carlisle	PA",40.2025,-77.195
"Harrisburg	PA",40.273191,-76.886701
"Kensington	PA",39.981726,-75.12812
"Lancaster	PA",40.037876,-76.305514
"Northern Liberties	PA",39.963692,-75.139944
"Philadelphia	PA",39.952584,-75.165222
"Pittsburgh	PA",40.440625,-79.995886
"Reading	PA",40.335648,-75.926875
"Southwark	PA",39.938263,-75.147241
"Spring Garden	PA",39.965673,-75.164753
"York	PA",39.962598,-76.727745
"Newport	RI",41.490102,-71.312829
"Providence	RI",41.823989,-71.412834
"Charleston	SC",32.776475,-79.931051
"Norfolk	VA",36.850769,-76.285873
"Petersburg	VA",37.227928,-77.401927
"Richmond	VA",37.540725,-77.436048
"",,
