County-Level Results For 1820

county,state,population
Abbeville,South Carolina,23167
Accomack,Virginia,15966
Adair,Kentucky,8765
Adams,Pennsylvania,19370
Adams,Mississippi,12076
Adams,Ohio,10406
Addison,Vermont,20469
Albany,New York,38116
Albemarle,Virginia,19750
Alexander,Illinois,626
Allegany,New York,9330
Allegany,Maryland,8654
Allegheny,Pennsylvania,34921
Allen,Kentucky,5327
Amelia,Virginia,11104
Amherst,Virginia,10423
Amite,Mississippi,6853
Anderson,Tennessee,4668
Anne Arundel,Maryland,27165
Anson,North Carolina,12534
Appling,Georgia,1264
Armstrong,Pennsylvania,10324
Ascension,Louisiana,3728
Ashe,North Carolina,4335
Ashtabula,Ohio,7382
Assumption,Louisiana,3576
Athens,Ohio,6338
Attakapas,Louisiana,12063
Augusta,Virginia,16742
Autauga,Alabama,3853
Avoyelles,Louisiana,2245
Baldwin,Georgia,7734
Baldwin,Alabama,1713
Baltimore,Maryland,33463
Baltimore City,Maryland,62738
Barnstable,Massachusetts,24026
Barnwell,South Carolina,14750
Barren,Kentucky,10328
Bath,Virginia,5237
Bath,Kentucky,7961
Beaufort,North Carolina,9850
Beaufort,South Carolina,32199
Beaver,Pennsylvania,15340
Bedford,Tennessee,16012
Bedford,Pennsylvania,20248
Bedford,Virginia,19305
Belmont,Ohio,20329
Bennington,Vermont,16125
Bergen,New Jersey,18178
Berkeley,Virginia,11211
Berks,Pennsylvania,46275
Berkshire,Massachusetts,35720
Bertie,North Carolina,10805
Bibb,Alabama,3676
Bladen,North Carolina,7276
Bledsoe,Tennessee,4005
Blount,Tennessee,11258
Blount,Alabama,2415
Bond,Illinois,2931
Boone,Kentucky,6542
Botetourt,Virginia,13589
Bourbon,Kentucky,17664
Bracken,Kentucky,5280
Bradford,Pennsylvania,11554
Breckinridge,Kentucky,7485
Bristol,Massachusetts,40908
Bristol,Rhode Island,5637
Brooke,Virginia,6631
Broome,New York,14343
Brown,Ohio,13356
Brunswick,North Carolina,5480
Brunswick,Virginia,16687
Bryan,Georgia,3021
