"original address",latitude,longitude
"Mobile	AL",30.695366,-88.039891
"Oakland	CA",37.804364,-122.271114
"Sacramento	CA",38.581572,-121.4944
"San Francisco	CA",37.77493,-122.419416
"Denver	CO",39.739236,-104.990251
"Bridgeport	CT",41.186548,-73.195177
"Hartford	CT",41.763711,-72.685093
"New Haven	CT",41.308274,-72.927883
"Washington	DC",38.907192,-77.036871
"Wilmington	DE",39.739072,-75.539788
"Atlanta	GA",33.748995,-84.387982
"Augusta	GA",33.473498,-82.010515
"Savannah	GA",32.083541,-81.099834
"Davenport	IA",41.523644,-90.577637
"Des Moines	IA",41.600545,-93.609106
"Dubuque	IA",42.500558,-90.664572
"Chicago	IL",41.878114,-87.629798
"Peoria	IL",40.693649,-89.588986
"Quincy	IL",39.935602,-91.409873
"Springfield	IL",39.781721,-89.650148
"Evansville	IN",37.971559,-87.57109
"Fort Wayne	IN",41.079273,-85.139351
"Indianapolis	IN",39.768403,-86.158068
"Terre Haute	IN",39.466703,-87.413909
"Covington	KY",39.083671,-84.508554
"Louisville	KY",38.252665,-85.758456
"Newport	KY",39.091449,-84.495776
"New Orleans	LA",29.951066,-90.071532
"Boston	MA",42.360083,-71.05888
"Cambridge	MA",42.373616,-71.109733
"Chelsea	MA",42.391764,-71.032828
"Fall River	MA",41.701491,-71.155045
"Holyoke	MA",42.204259,-72.616201
"Lawrence	MA",42.707035,-71.163114
"Lowell	MA",42.633425,-71.316172
"Lynn	MA",42.466763,-70.949494
"New Bedford	MA",41.636215,-70.934205
"Salem	MA",42.51954,-70.896716
"Somerville	MA",42.387597,-71.099497
"Springfield	MA",42.101483,-72.589811
"Taunton	MA",41.900101,-71.089767
"Worcester	MA",42.262593,-71.802293
"Baltimore	MD",39.290385,-76.612189
"Portland	ME",43.661471,-70.255326
"Bay City	MI",43.594468,-83.888865
"Detroit	MI",42.331427,-83.045754
"Grand Rapids	MI",42.96336,-85.668086
"Minneapolis	MN",44.977753,-93.265011
"St. Paul	MN",44.953703,-93.089958
"Kansas City	MO",39.099727,-94.578567
"St. Joseph	MO",39.767458,-94.846681
"St. Louis	MO",38.627003,-90.199404
"Omaha	NE",41.252363,-95.997988
"Manchester	NH",42.99564,-71.454789
"Camden	NJ",39.925946,-75.11962
"Elizabeth	NJ",40.663992,-74.210701
"Harrisburg	NJ",40.25436,-74.09068
"Hoboken	NJ",40.743991,-74.032363
"Jersey City	NJ",40.728157,-74.077642
"Newark	NJ",40.735657,-74.172367
"Paterson	NJ",40.916765,-74.171811
"Trenton	NJ",40.217053,-74.742938
"Albany	NY",42.652579,-73.756232
"Auburn	NY",42.931734,-76.566053
"Brooklyn	NY",40.678178,-73.944158
"Buffalo	NY",42.886447,-78.878369
"Elmira	NY",42.089797,-76.807734
"New York	NY",40.712784,-74.005941
"Oswego	NY",43.455346,-76.510497
"Poughkeepsie	NY",41.700371,-73.92097
"Rochester	NY",43.16103,-77.610922
"Syracuse	NY",43.048122,-76.147424
"Troy	NY",42.728412,-73.691785
"Utica	NY",43.100903,-75.232664
"Cincinnati	OH",39.103118,-84.51202
"Cleveland	OH",41.49932,-81.694361
"Columbus	OH",39.961176,-82.998794
"Dayton	OH",39.758948,-84.191607
"Springfield	OH",39.924227,-83.808817
"Toledo	OH",41.663938,-83.555212
"Allegheny	PA",40.445081,-80.008775
"Erie	PA",42.129224,-80.085059
"Lancaster	PA",40.037876,-76.305514
"Philadelphia	PA",39.952584,-75.165222
"Pittsburgh	PA",40.440625,-79.995886
"Reading	PA",40.335648,-75.926875
"Scranton	PA",41.408969,-75.662412
"Wilkes-Barre	PA",41.245915,-75.881307
"Providence	RI",41.823989,-71.412834
"Charleston	SC",32.776475,-79.931051
"Memphis	TN",35.149534,-90.04898
"Nashville	TN",36.162664,-86.781602
"Galveston	TX",29.301348,-94.797696
"San Antonio	TX",29.424122,-98.493628
"Salt Lake City	UT",40.760779,-111.891047
"Norfolk	VA",36.850769,-76.285873
"Petersburg	VA",37.227928,-77.401927
"Richmond	VA",37.540725,-77.436048
"Milwaukee	WI",43.038903,-87.906474
"Wheeling	WV",40.063962,-80.720915
