"original address",latitude,longitude
"Birmingham	AL",33.520661,-86.80249
"Mobile	AL",30.695366,-88.039891
"Little Rock	AR",34.746481,-92.289595
"Los Angeles	CA",34.052234,-118.243685
"Oakland	CA",37.804364,-122.271114
"San Francisco	CA",37.77493,-122.419416
"Denver	CO",39.739236,-104.990251
"Bridgeport	CT",41.186548,-73.195177
"Hartford	CT",41.763711,-72.685093
"New Haven	CT",41.308274,-72.927883
"Waterbury	CT",41.558153,-73.051496
"Washington	DC",38.907192,-77.036871
"Wilmington	DE",39.739072,-75.539788
"Atlanta	GA",33.748995,-84.387982
"Augusta	GA",33.473498,-82.010515
"Savannah city GA	GA",32.083541,-81.099834
"Honolulu	HI",21.306944,-157.858333
"Des Moines	IA",41.600545,-93.609106
"Chicago	IL",41.878114,-87.629798
"Peoria	IL",40.693649,-89.588986
"Evansville	IN",37.971559,-87.57109
"Fort Wayne	IN",41.079273,-85.139351
"Indianapolis	IN",39.768403,-86.158068
"Kansas City	KS",39.114053,-94.627464
"Covington	KY",39.083671,-84.508554
"Louisville	KY",38.252665,-85.758456
"New Orleans	LA",29.951066,-90.071532
"Boston	MA",42.360083,-71.05888
"Brockton	MA",42.083434,-71.018379
"Cambridge	MA",42.373616,-71.109733
"Fall River	MA",41.701491,-71.155045
"Holyoke	MA",42.204259,-72.616201
"Lawrence	MA",42.707035,-71.163114
"Lowell	MA",42.633425,-71.316172
"Lynn	MA",42.466763,-70.949494
"New Bedford	MA",41.636215,-70.934205
"Somerville	MA",42.387597,-71.099497
"Springfield	MA",42.101483,-72.589811
"Worcester	MA",42.262593,-71.802293
"Baltimore	MD",39.290385,-76.612189
"Portland	ME",43.661471,-70.255326
"Detroit	MI",42.331427,-83.045754
"Grand Rapids	MI",42.96336,-85.668086
"Saginaw	MI",43.41947,-83.950807
"Duluth	MN",46.786672,-92.100485
"Minneapolis	MN",44.977753,-93.265011
"St. Paul	MN",44.953703,-93.089958
"Kansas City	MO",39.099727,-94.578567
"St. Joseph	MO",39.767458,-94.846681
"St. Louis	MO",38.627003,-90.199404
"Lincoln	NE",40.810556,-96.680278
"Omaha	NE",41.252363,-95.997988
"Manchester	NH",42.99564,-71.454789
"Camden	NJ",39.925946,-75.11962
"Elizabeth	NJ",40.663992,-74.210701
"Hoboken	NJ",40.743991,-74.032363
"Jersey City	NJ",40.728157,-74.077642
"Newark	NJ",40.735657,-74.172367
"Paterson	NJ",40.916765,-74.171811
"Trenton	NJ",40.217053,-74.742938
"Albany	NY",42.652579,-73.756232
"Binghamton	NY",42.098687,-75.917974
"Buffalo	NY",42.886447,-78.878369
"New York	NY",40.712784,-74.005941
"Rochester	NY",43.16103,-77.610922
"Syracuse	NY",43.048122,-76.147424
"Troy	NY",42.728412,-73.691785
"Utica	NY",43.100903,-75.232664
"Yonkers	NY",40.93121,-73.898747
"Akron	OH",41.081445,-81.519005
"Cincinnati	OH",39.103118,-84.51202
"Cleveland	OH",41.49932,-81.694361
"Columbus	OH",39.961176,-82.998794
"Dayton	OH",39.758948,-84.191607
"Toledo	OH",41.663938,-83.555212
"Youngstown	OH",41.09978,-80.649519
"Portland	OR",45.523062,-122.676482
"Allegheny	PA",40.445081,-80.008775
"Altoona	PA",40.518681,-78.394736
"Erie	PA",42.129224,-80.085059
"Harrisburg	PA",40.273191,-76.886701
"Lancaster	PA",40.037876,-76.305514
"Philadelphia	PA",39.952584,-75.165222
"Pittsburgh	PA",40.440625,-79.995886
"Reading	PA",40.335648,-75.926875
"Scranton	PA",41.408969,-75.662412
"Wilkes-Barre	PA",41.245915,-75.881307
"Pawtucket	RI",41.878711,-71.382556
"Providence	RI",41.823989,-71.412834
"Charleston	SC",32.776475,-79.931051
"Memphis	TN",35.149534,-90.04898
"Nashville	TN",36.162664,-86.781602
"Dallas	TX",32.776664,-96.796988
"Houston	TX",29.760427,-95.369803
"San Antonio	TX",29.424122,-98.493628
"Salt Lake City	UT",40.760779,-111.891047
"Norfolk	VA",36.850769,-76.285873
"Richmond	VA",37.540725,-77.436048
"Seattle	WA",47.60621,-122.332071
"Milwaukee	WI",43.038903,-87.906474
"Wheeling	WV",40.063962,-80.720915
