Year,City,State,Population,latitude,longitude
1800,Hartford,CT,3523,41.763711,-72.685093
1800,New Haven,CT,4049,41.308274,-72.927883
1800,New London,CT,5150,41.355654,-72.099521
1800,Alexandria,DC,4971,38.804836,-77.046921
1800,Georgetown,DC,2993,38.909706,-77.065356
1800,Washington,DC,3210,38.907192,-77.036871
1800,Savannah,GA,5146,32.083541,-81.099834
1800,Boston,MA,24937,42.360083,-71.05888
1800,Gloucester,MA,5313,42.615929,-70.661989
1800,Marblehead,MA,5211,42.499958,-70.857802
1800,Middleborough,MA,4458,41.892994,-70.910771
1800,Nantucket,MA,5617,41.28347,-70.099451
1800,New Bedford,MA,4361,41.636215,-70.934205
1800,Newburyport,MA,5946,42.812591,-70.877275
1800,Salem,MA,9457,42.51954,-70.896716
1800,Baltimore,MD,26514,39.290385,-76.612189
1800,Portland,ME,3704,43.661471,-70.255326
1800,Portsmouth,NH,5339,43.071755,-70.762553
1800,Albany,NY,5289,42.652579,-73.756232
1800,Hudson,NY,3664,42.252865,-73.790959
1800,New York,NY,60515,40.712784,-74.005941
1800,Schenectady,NY,5289,42.814243,-73.939569
1800,Lancaster,PA,4292,40.037876,-76.305514
1800,Northern Liberties,PA,10718,39.963692,-75.139944
1800,Philadelphia,PA,41220,39.952584,-75.165222
1800,Southwark,PA,9621,39.938263,-75.147241
1800,York,PA,2503,39.962598,-76.727745
1800,Newport,RI,6739,41.490102,-71.312829
1800,Providence,RI,7614,41.823989,-71.412834
1800,Charleston,SC,18824,32.776475,-79.931051
1800,Norfolk,VA,6926,36.850769,-76.285873
1800,Petersburg,VA,3521,37.227928,-77.401927
1800,Richmond,VA,5737,37.540725,-77.436048
1810,Hartford,CT,3955,41.763711,-72.685093
1810,New Haven,CT,5772,41.308274,-72.927883
1810,New London,CT,3238,41.355654,-72.099521
1810,Norwich,CT,2976,41.524265,-72.07591
1810,Alexandria,DC,7227,38.804836,-77.046921
1810,Georgetown,DC,4948,38.909706,-77.065356
1810,Washington,DC,8208,38.907192,-77.036871
1810,Savannah,GA,5215,32.083541,-81.099834
1810,Lexington,KY,4326,38.040584,-84.503716
1810,New Orleans,LA,17242,29.951066,-90.071532
1810,Beverly,MA,4608,42.558428,-70.880049
1810,Boston,MA,33787,42.360083,-71.05888
1810,Charlestown,MA,4959,42.378207,-71.060213
1810,Gloucester,MA,5943,42.615929,-70.661989
1810,Lynn,MA,4087,42.466763,-70.949494
1810,Marblehead,MA,5900,42.499958,-70.857802
1810,Middleborough,MA,4400,41.892994,-70.910771
1810,Nantucket,MA,6807,41.28347,-70.099451
1810,New Bedford,MA,5651,41.636215,-70.934205
1810,Newburyport,MA,7634,42.812591,-70.877275
1810,Plymouth,MA,4228,41.958446,-70.667262
1810,Salem,MA,12613,42.51954,-70.896716
1810,Baltimore,MD,46555,39.290385,-76.612189
1810,Portland,ME,7169,43.661471,-70.255326
1810,Portsmouth,NH,6934,43.071755,-70.762553
1810,Elizabeth,NJ,2977,40.663992,-74.210701
1810,Trenton,NJ,3002,40.217053,-74.742938
1810,Albany,NY,10762,42.652579,-73.756232
1810,Brooklyn,NY,4402,40.678178,-73.944158
1810,Hudson,NY,4048,42.252865,-73.790959
1810,New York,NY,96373,40.712784,-74.005941
1810,Schenectady,NY,5903,42.814243,-73.939569
1810,Cincinnati,OH,2540,39.103118,-84.51202
1810,Lancaster,PA,5405,40.037876,-76.305514
1810,Northern Liberties,PA,19874,39.963692,-75.139944
1810,Philadelphia,PA,53722,39.952584,-75.165222
1810,Pittsburgh,PA,4768,40.440625,-79.995886
1810,Reading,PA,3462,40.335648,-75.926875
1810,Southwark,PA,13707,39.938263,-75.147241
1810,York,PA,2847,39.962598,-76.727745
1810,Newport,RI,7907,41.490102,-71.312829
1810,Providence,RI,10071,41.823989,-71.412834
1810,Charleston,SC,24711,32.776475,-79.931051
1810,Norfolk,VA,9193,36.850769,-76.285873
1810,Petersburg,VA,5668,37.227928,-77.401927
1810,Richmond,VA,9735,37.540725,-77.436048
1820,Hartford,CT,4726,41.763711,-72.685093
1820,Middletown,CT,2618,41.562321,-72.650649
1820,New Haven,CT,7147,41.308274,-72.927883
1820,New London,CT,3330,41.355654,-72.099521
1820,Norwich,CT,2983,41.524265,-72.07591
1820,Alexandria,DC,8218,38.804836,-77.046921
1820,Georgetown,DC,7360,38.909706,-77.065356
1820,Washington,DC,13247,38.907192,-77.036871
1820,Savannah,GA,7523,32.083541,-81.099834
1820,Lexington,KY,5279,38.040584,-84.503716
1820,Louisville,KY,4012,38.252665,-85.758456
1820,New Orleans,LA,27176,29.951066,-90.071532
1820,Beverly,MA,4283,42.558428,-70.880049
1820,Boston,MA,43298,42.360083,-71.05888
1820,Charlestown,MA,6591,42.378207,-71.060213
1820,Gloucester,MA,6384,42.615929,-70.661989
1820,Lynn,MA,4515,42.466763,-70.949494
1820,Marblehead,MA,5630,42.499958,-70.857802
1820,Middleborough,MA,4687,41.892994,-70.910771
1820,Nantucket,MA,7266,41.28347,-70.099451
1820,New Bedford,MA,3947,41.636215,-70.934205
1820,Newburyport,MA,6852,42.812591,-70.877275
1820,Plymouth,MA,4348,41.958446,-70.667262
1820,Roxbury,MA,4135,42.315198,-71.091375
1820,Salem,MA,12731,42.51954,-70.896716
1820,Taunton,MA,4520,41.900101,-71.089767
1820,Baltimore,MD,62738,39.290385,-76.612189
1820,Frederick,MD,3640,39.414269,-77.410541
1820,Portland,ME,8581,43.661471,-70.255326
1820,Fayetteville,NC,3532,35.052664,-78.878358
1820,New Bern,NC,3663,35.108493,-77.044114
1820,Raleigh,NC,2674,35.77959,-78.638179
1820,Wilmington,NC,2633,34.225726,-77.94471
1820,Portsmouth,NH,7327,43.071755,-70.762553
1820,Elizabeth,NJ,3515,40.663992,-74.210701
1820,Trenton,NJ,3942,40.217053,-74.742938
1820,Albany,NY,12630,42.652579,-73.756232
1820,Brooklyn,NY,7175,40.678178,-73.944158
1820,Hudson,NY,5310,42.252865,-73.790959
1820,New York,NY,123706,40.712784,-74.005941
1820,Schenectady,NY,3939,42.814243,-73.939569
1820,Troy,NY,5264,42.728412,-73.691785
1820,Utica,NY,2972,43.100903,-75.232664
1820,Cincinnati,OH,9642,39.103118,-84.51202
1820,Carlisle,PA,2908,40.2025,-77.195
1820,Harrisburg,PA,2990,40.273191,-76.886701
1820,Kensington,PA,7118,39.981726,-75.12812
1820,Lancaster,PA,6633,40.037876,-76.305514
1820,Northern Liberties,PA,19678,39.963692,-75.139944
1820,Philadelphia,PA,,39.952584,-75.165222
1820,Pittsburgh,PA,7248,40.440625,-79.995886
1820,Reading,PA,4332,40.335648,-75.926875
